Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_Income_log
1,0,0,0,0,360.0,1.0,2,1,4.852030263919617,8.674025985443025
1,1,1,0,0,360.0,1.0,0,0,4.852030263919617,8.714567550836485
1,1,0,0,1,360.0,1.0,2,1,4.189654742026425,8.006367567650246
1,1,0,1,0,360.0,1.0,2,1,4.787491742782046,8.50532301884575
1,0,0,0,0,360.0,1.0,2,1,4.948759890378168,8.699514748210191
1,1,2,0,1,360.0,1.0,2,1,5.58724865840025,9.170871628065816
1,1,0,1,0,360.0,1.0,2,1,4.553876891600541,8.255568653283746
1,1,3,0,0,360.0,0.0,1,0,5.062595033026967,8.61974977974133
1,1,2,0,0,360.0,1.0,2,1,5.123963979403259,8.61830469278465
1,1,1,0,0,360.0,1.0,1,0,5.855071922202427,10.077818939438902
1,1,2,0,0,360.0,1.0,2,1,4.248495242049359,8.268731832117737
1,1,2,0,0,360.0,1.0,2,1,4.6913478822291435,8.375629627094451
1,1,2,0,0,360.0,1.0,2,1,5.298317366548036,9.321792297270326
1,0,0,0,0,360.0,1.0,0,0,4.736198448394496,8.453827315794417
1,1,2,0,0,120.0,1.0,2,1,2.833213344056216,7.776954403322442
1,0,0,0,0,360.0,1.0,2,1,4.8283137373023015,8.507142855562735
1,0,1,1,0,240.0,1.0,2,1,4.605170185988092,8.18757739559151
0,0,0,0,0,360.0,0.0,2,0,4.330733340286331,8.163371316459912
1,1,0,1,0,360.0,1.0,0,0,4.890349128221754,8.494333897270154
1,1,0,0,0,360.0,1.0,2,1,4.74493212836325,8.716044050161402
1,1,0,1,0,360.0,0.0,2,0,4.6443908991413725,8.943767262734637
1,1,1,0,0,360.0,1.0,2,1,5.752572638825633,9.357034751126987
1,1,0,1,0,360.0,0.0,1,0,4.7535901911063645,8.414274137408396
1,1,2,1,0,360.0,0.0,0,0,4.718498871295094,8.572060092857077
1,1,1,0,0,360.0,1.0,1,0,5.017279836814924,8.801168401936692
1,1,0,0,1,360.0,1.0,1,1,5.25227342804663,9.165343006045447
1,1,0,0,0,360.0,1.0,1,1,4.804021044733257,8.527539483470381
1,1,2,1,0,360.0,1.0,2,1,4.700480365792417,8.569026340056254
1,0,0,1,0,360.0,1.0,2,0,3.5553480614894135,7.273786317844895
0,0,2,0,0,360.0,1.0,1,1,4.787491742782046,8.671286726753637
1,1,1,0,0,360.0,1.0,2,0,5.303304908059076,8.927314111060596
1,0,0,0,0,360.0,1.0,2,0,4.30406509320417,8.06054004653864
1,0,1,0,1,360.0,1.0,0,0,4.663439094112067,8.453614209773367
1,1,0,0,0,360.0,1.0,1,1,4.736198448394496,8.550047528287184
1,0,3,0,0,360.0,1.0,0,0,5.768320995793772,9.648595302907339
1,1,0,0,0,360.0,1.0,2,1,4.852030263919617,8.376090350438238
1,1,0,0,0,360.0,0.0,2,0,4.605170185988092,8.057694194815587
0,1,0,0,0,360.0,1.0,1,1,4.969813299576001,8.542080906924017
1,0,0,0,0,360.0,1.0,2,1,5.214935757608986,9.339261152043022
1,0,0,1,0,360.0,1.0,1,1,4.700480365792417,8.59711281459211
1,0,0,0,0,360.0,1.0,2,0,4.382026634673881,8.1886891244442
1,0,0,0,0,360.0,1.0,2,1,3.8501476017100584,8.0106915391303
1,1,0,0,0,360.0,1.0,2,1,4.31748811353631,7.783224016336037
1,1,0,0,0,360.0,1.0,1,1,4.897839799950911,8.744647438317532
1,1,0,1,1,360.0,1.0,2,1,4.564348191467836,8.454253391642363
0,0,0,0,0,360.0,1.0,2,1,4.477336814478207,8.134467570277563
1,1,1,0,0,360.0,1.0,2,1,3.784189633918261,8.639233817325263
1,1,0,0,0,360.0,1.0,2,1,4.969813299576001,8.669227347271736
0,1,0,0,0,360.0,0.0,2,0,4.787491742782046,8.713582005421628
0,0,0,0,0,360.0,1.0,1,1,4.969813299576001,8.744328763999984
0,1,0,1,0,360.0,1.0,1,1,4.605170185988092,8.18088094199639
0,0,0,0,0,360.0,1.0,1,1,4.787491742782046,8.034631032923107
0,0,0,0,0,360.0,1.0,1,0,4.718498871295094,8.349957272040324
